id	engine_status	finalizer_status	cold_starts	suspensions	local_step_retries	replayed_delivered_tokens	replayed_dispatches	cumulative_fuel	resource_wait_ns	engine_ns	error_cluster	guard_status
1609.01918	accepted	complete	1	115	115	1820	1820	1570535	4013409948	9326341358	none	0
2606.04708	failed	not-run	0	0	0	0	0	0	0	0	macro-parameter-token	1
1901.05298	accepted	complete	1	215	215	8693	8693	1699222	3987521621	9839729899	none	0
2104.07258	accepted	complete	1	116	116	2915	2915	1004446	4118795998	7057216919	none	0
0901.0375	accepted	failed	1	65	65	1088	1088	750728	3349267001	3911875756	none	0
1803.04459	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2109.12590	accepted	complete	1	91	91	950	950	1749428	3920674787	9515563481	none	0
2511.00922	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1607.01424	failed	not-run	0	0	0	0	0	0	0	0	terminal-read-eof	1
1910.12506	accepted	failed	1	127	127	1195	1195	2311014	4601607747	13853982683	none	0
2002.08666	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2211.04558	accepted	complete	1	207	207	4953	4953	2917311	6446003921	16764847689	none	0
2001.09659	accepted	complete	1	97	97	4551	4551	1346904	4162648250	7794039321	none	0
2412.02819	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2406.10388	accepted	complete	1	197	197	4807	4723	3438032	4991789136	25437574406	none	0
2408.08969	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
1803.06913	accepted	complete	1	212	212	10830	10830	2297479	5051066879	13515409050	none	0
2308.00992	accepted	complete	1	102	102	2124	2124	960515	2748664290	5846698765	none	0
1402.7313	accepted	complete	1	107	107	2057	2057	1291627	2954760670	7985097889	none	0
2502.08039	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2303.11292	accepted	complete	1	185	185	5183	5183	3637964	5664311876	21768463562	none	0
2508.02487	accepted	complete	1	159	159	4893	4893	2580924	5308791588	15417551401	none	0
2601.15540	guard-timeout-or-rss	not-run	0	0	0	0	0	0	0	0	guard-timeout-or-rss	124
2304.07531	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2109.04844	accepted	failed	1	143	143	5070	5070	2541082	4973673127	15080342902	none	0
2603.26169	accepted	complete	1	118	118	1594	1594	2153683	4405521834	12376497306	none	0
1806.09227	accepted	failed	1	188	188	5156	5156	13870998	5600304792	48434198794	none	0
2509.26198	failed	not-run	0	0	0	0	0	0	0	0	other-engine-error	1
2303.03677	accepted	complete	1	102	102	2124	2124	1209993	3161514877	7579987047	none	0
cond-mat/0403603	accepted	failed	1	65	65	1083	1083	490429	3277399047	3029734155	none	0
