id	categories
1609.01918	astro-ph.HE
2606.04708	cs.RO cs.AI
1901.05298	physics.gen-ph
2104.07258	cond-mat.supr-con cond-mat.mtrl-sci
0901.0375	math-ph math.MP
1803.04459	cs.LG cs.AI cs.CV cs.SI
2109.12590	math.AP
2511.00922	cond-mat.mtrl-sci
1607.01424	math.CO math.NT
1910.12506	nucl-ex
2002.08666	quant-ph cond-mat.str-el
2211.04558	econ.EM
2001.09659	math.GN
2412.02819	cs.CL cs.AI
2406.10388	astro-ph.GA
2408.08969	cs.AI physics.optics
1803.06913	cs.LG cs.AR
2308.00992	cs.DL cs.SI
1402.7313	math.DS
2502.08039	math.QA math.RT
2303.11292	math.LO math.PR
2508.02487	cs.SE
2601.15540	cs.LG cs.AI cs.CL physics.data-an
2304.07531	cs.SE
2109.04844	astro-ph.SR astro-ph.EP astro-ph.GA
2603.26169	physics.flu-dyn
1806.09227	cond-mat.stat-mech
2509.26198	math.OC
2303.03677	cs.CY cs.AI cs.LG
cond-mat/0403603	cond-mat.mtrl-sci
2212.09995	quant-ph
quant-ph/0401158	quant-ph
math/0410460	math.DG math-ph math.MP
astro-ph/9806267	astro-ph
1109.6025	cond-mat.supr-con cond-mat.str-el
2403.05325	cs.CV
1710.06442	astro-ph.GA
1204.5690	astro-ph.HE astro-ph.GA
2504.13286	eess.SY cs.SY
2409.09687	cs.LG cs.AI math.OC
2409.18194	astro-ph.CO astro-ph.GA gr-qc
1510.06073	cs.DS
2402.06118	cs.CV cs.AI
0809.4370	physics.optics
1905.03736	math.AC math.CO
1309.6552	math.FA
1505.01466	cs.IT math.IT
cond-mat/0604100	cond-mat.stat-mech cond-mat.other physics.soc-ph
0906.4556	astro-ph.CO
2302.02138	math.NT cs.FL
2402.03856	physics.plasm-ph math-ph math.MP physics.comp-ph
2106.16088	q-fin.TR cs.LG
1201.0674	cond-mat.mes-hall quant-ph
0708.1003	cond-mat.supr-con cond-mat.str-el
2406.18174	math.FA math.PR q-fin.RM
2012.14835	math.GR
math/0405422	math.DG math.SG
1512.00596	cs.CV
1110.5194	hep-ph
2512.01214	cs.CV cs.AI
1901.02462	quant-ph physics.optics
2509.16342	eess.AS cs.LG cs.SD
astro-ph/0701678	astro-ph
0903.3324	gr-qc
1512.07679	cs.AI cs.LG cs.NE stat.ML
2008.00342	hep-ph hep-th math-ph math.MP
2404.08501	cs.NE cs.AI
2404.06754	math.AG math.CO math.NT
cond-mat/9906328	cond-mat.supr-con
2302.05666	cs.CV cs.AI cs.LG
2309.07749	cs.CV
nucl-th/0508048	nucl-th
2509.15093	math.CV
2311.03407	math.CA math.FA
2509.18247	cond-mat.str-el cond-mat.mes-hall
2512.18767	quant-ph
2210.17134	math.AP
hep-ph/0604209	hep-ph cond-mat.other nucl-th
2508.17913	cs.CR cs.ET cs.NI
1706.07482	gr-qc hep-th math-ph math.MP
1605.00321	quant-ph hep-th math-ph math.MP math.OA math.QA
2208.12264	cs.LG stat.AP
1501.07105	cond-mat.str-el cond-mat.mtrl-sci
2303.07483	eess.IV physics.app-ph physics.med-ph
2007.04915	cs.LG stat.ML
2306.06689	math.PR cs.NA math.NA
1911.07270	cond-mat.supr-con cond-mat.str-el
2411.08642	cs.CV cs.AI
1806.00133	physics.chem-ph
2108.07198	hep-th math-ph math.MP
2209.03095	cs.CR
1209.1157	hep-ph
2606.13617	cond-mat.soft cond-mat.stat-mech
2008.12745	cs.AR
2405.07680	cs.CV cs.LG
1111.4238	cond-mat.mes-hall
1910.14440	math.AG
1903.09682	math.NA cs.NA math.PR
1307.4678	math.AG math.CT
2301.10807	cs.PL cs.LO
